id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude,Unnamed: 10,geometry
Escola Privada_1745055,Privada,Escola de Educacao Infantil Arco Iris Ss LTDA,Rua,"Rua Campo Comprido, 365",Vila Romero,2469120,Escola Privada,-23.485367,-46.646174,,POINT (-46.646174 -23.485367)
Escola Privada_1745056,Privada,Wish Education com Carga Horaria Estendida em Lingua Adicional,Rua,"Sao Gil, 159",Tatuape,3401030,Escola Privada,-23.548261,-46.553458,,POINT (-46.553458 -23.548261)
Escola Privada_1745066,Privada,Cr P Conv Ser Feliz II,Rua,"Anisio da Silveira Machado, 137",Jardim Robru,8150140,Escola Privada,-23.516905,-46.41593,,POINT (-46.41593 -23.516905)
Escola Privada_1745070,Privada,St Francis College,Rua,"Eugenio Leite Conego, 825",Pinheiros,5414012,Escola Privada,-23.563006,-46.686578,,POINT (-46.686578 -23.563006)
Escola Privada_1745076,Privada,Cr P Conv Jardim das Oliveiras,Rua,"Rubens de Oliveira, 400",Parque Residencial Cocaia,4849210,Escola Privada,-23.743574,-46.664858,,POINT (-46.664858 -23.743574)
Escola Privada_1745080,Privada,Esc Part Crystal,Rua,"Marechal Olimpio Mourao Filho, 253",Vila Sao Francisco,5352080,Escola Privada,-23.556372,-46.758999,,POINT (-46.758999 -23.556372)
Escola Privada_1745083,Privada,Cei Indir Maria Antonieta de Castro,Rua,"Artur Prado, 331",Bela Vista,1322000,Escola Privada,-23.563294,-46.642965,,POINT (-46.642965 -23.563294)
Escola Privada_1745088,Privada,Esc Part Bright Kids,Rua,"Nove de Julho, 4076",Jardim Paulista,1406100,Escola Privada,-23.572978,-46.666307,,POINT (-46.666307 -23.572978)
Escola Privada_1745093,Privada,Cr P Conv Roseira II,Rua,"Catarina Cubas, 771",Lajeado,8450350,Escola Privada,-23.539676,-46.401612,,POINT (-46.401612 -23.539676)
Escola Privada_1745094,Privada,Cr P Conv Priscilla Telles Siqueira Balotta de Oliveira IV,Rua,"Pascoal Diorio, 114",Jardim Guaianazes,8431400,Escola Privada,-23.53857,-46.415967,,POINT (-46.415967 -23.53857)
Escola Privada_1745096,Privada,Cr P Conv Semeando O Bem II,Rua,"Rosa do Ultramar, 7",Lajeado,8451240,Escola Privada,-23.540937,-46.398399,,POINT (-46.398399 -23.540937)
Escola Privada_1745104,Privada,Cr P Conv Luzia Bezerra,Rua,"Arne Ragnar Enge, 150",Vila Iolanda II,8476010,Escola Privada,-23.57943,-46.388092,,POINT (-46.388092 -23.57943)
Escola Privada_1745105,Privada,Cr P Conv Maria Helena Ribeiro de Castro Cei,Rua,"Padre Manuel Godinho, 14",Vila Clara,4414100,Escola Privada,-23.67327,-46.642006,,POINT (-46.642006 -23.67327)
Escola Privada_1745106,Privada,Cr P Conv Selmo Martins dos Santos,Rua,"Joao Cabral de Melo Neto, 78",Cidade Tiradentes,8485465,Escola Privada,-23.575402,-46.414432,,POINT (-46.414432 -23.575402)
Escola Privada_1745109,Privada,Cr P Conv Estrelinhas Alegres II,Rua,"Da Onca, 42",Conjunto Habitacional Santa Etelvina II,8485210,Escola Privada,-23.633354,-46.701111,,POINT (-46.701111 -23.633354)
Escola Privada_1745119,Privada,Cr P Conv Mae Peregrina,Rua,"Yoshimara Minamoto, 905",Jardim Brasilia,5847620,Escola Privada,-23.655896,-46.750372,,POINT (-46.750372 -23.655896)
Escola Privada_1745121,Privada,Cei Indir Lydia dos Santos Carrano,Rua,"General Daltro Filho, 110",Vila Parque Jabaquara,4330040,Escola Privada,-23.652599,-46.648092,,POINT (-46.648092 -23.652599)
Escola Privada_1745123,Privada,Cr P Conv Primeira Infancia,Rua,"Helcio da Silva, 95",Vila Teresinha,2854060,Escola Privada,-23.457749,-46.698862,,POINT (-46.698862 -23.457749)
Escola Privada_1745124,Privada,Cr P Conv Ary Barroso,Rua,"Aurelio Brasil Ribeiro, 434",Jardim Carombe,2855270,Escola Privada,-23.455872,-46.701997,,POINT (-46.701997 -23.455872)
Escola Privada_1745129,Privada,Esc Part Dream Kids,Rua,"Joaquim Candido de Azevedo Marques, 1234",Vila Morumbi,5688021,Escola Privada,-23.611148,-46.710171,,POINT (-46.710171 -23.611148)
Escola Privada_1745132,Privada,Cr P Conv Novo Florescer,Rua,"Eduardo Moura, 39",Cidade Tiradentes,8470620,Escola Privada,-23.598636,-46.392343,,POINT (-46.392343 -23.598636)
